21_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
0.6666666666666666,0.6666666666666666,0.6666666666666666,1
0.75,0.75,0.75,2
0.6,0.6,0.6,3
0.41666666666666663,0.41666666666666663,0.41666666666666663,4
-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,5
-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,6
-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,7
0.0,0.0,0.0,8
0.16666666666666666,0.16666666666666666,0.16666666666666666,9
0.25,0.25,0.25,10
0.16666666666666666,0.16666666666666666,0.16666666666666666,11
-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,12
-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,13
0.0,0.0,0.0,14
0.41666666666666663,0.41666666666666663,0.41666666666666663,15
0.6666666666666666,0.6666666666666666,0.6666666666666666,16
0.6666666666666666,0.6666666666666666,0.6666666666666666,17
0.5,0.5,0.5,18
0.0,0.0,0.0,19
-0.5,-0.5,-0.5,20
-0.75,-0.75,-0.75,21
-1.1666666666666667,-1.1666666666666667,-1.1666666666666667,22
-1.5,-1.5,-1.5,23
-1.9166666666666665,-1.9166666666666665,-1.9166666666666665,24
-2.0,-2.0,-2.0,25
-2.0,-2.0,-2.0,26
-1.75,-1.75,-1.75,27
-1.5,-1.5,-1.5,28
-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,29
-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,30
-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,31
-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,32
-0.5833333333333333,-0.5833333333333333,-0.5833333333333333,33
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,34
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,35
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,36
-0.8333333333333334,-0.8333333333333334,-0.8333333333333334,37
-1.1666666666666667,-1.1666666666666667,-1.1666666666666667,38
-1.1666666666666667,-1.1666666666666667,-1.1666666666666667,39
-1.0,-1.0,-1.0,40
-1.0,-1.0,-1.0,41
-1.0,-1.0,-1.0,42
-1.5,-1.5,-1.5,43
-1.8888888888888886,-1.8888888888888886,-1.8888888888888886,44
-2.416666666666667,-2.416666666666667,-2.416666666666667,45
-2.833333333333333,-2.833333333333333,-2.833333333333333,46
-3.416666666666667,-3.416666666666667,-3.416666666666667,47
-3.75,-3.75,-3.75,48
-4.055555555555556,-4.055555555555556,-4.055555555555556,49
-4.416666666666666,-4.416666666666666,-4.416666666666666,50
-4.722222222222222,-4.722222222222222,-4.722222222222222,51
-4.833333333333333,-4.833333333333333,-4.833333333333333,52
-4.833333333333333,-4.833333333333333,-4.833333333333333,53
-5.083333333333334,-5.083333333333334,-5.083333333333334,54
-5.666666666666667,-5.666666666666667,-5.666666666666667,55
-6.0,-6.0,-6.0,56
-5.833333333333333,-5.833333333333333,-5.833333333333333,57
