timestamp,score
60:00,18:25
59:49,18:25
59:19,18:25
59:03,18:24
58:56,18:24
58:39,18:24
58:32,18:24
57:53,18:24
57:49,18:24
57:20,18:24
57:16,17:24
56:46,17:24
56:26,17:23
55:51,17:23
55:17,17:23
54:49,17:23
54:20,17:23
53:09,17:22
53:05,17:22
52:33,17:22
52:03,17:22
51:34,17:22
51:25,17:22
50:53,17:22
50:50,17:21
50:45,17:21
50:05,17:21
49:52,17:21
49:24,17:21
49:06,17:21
49:00,17:21
48:07,17:21
48:04,17:20
48:03,17:20
47:20,17:20
46:24,16:20
46:09,16:19
45:44,16:19
45:42,16:19
45:31,16:18
45:02,16:18
44:47,16:17
44:32,16:17
43:48,16:17
43:23,16:17
42:39,16:17
42:27,16:16
42:02,16:16
42:00,16:16
41:53,16:15
41:47,16:15
40:42,16:15
39:58,16:14
39:12,15:14
38:52,15:13
38:24,15:13
37:24,15:13
37:08,14:13
36:26,14:13
35:57,14:13
35:51,13:13
35:23,13:13
35:18,13:13
35:06,13:13
34:56,13:13
34:56,13:12
34:56,13:12
34:56,13:12
34:56,13:12
33:56,13:12
33:19,13:11
32:24,13:11
32:22,13:10
31:52,13:10
30:57,13:9
30:31,12:9
29:21,12:8
29:19,12:8
28:52,12:8
28:17,12:8
27:42,12:8
27:04,12:8
26:54,12:8
26:21,12:8
26:12,12:8
25:32,12:8
25:30,12:8
25:21,12:8
24:04,12:8
23:43,12:7
22:56,12:7
22:37,12:7
22:27,12:7
21:07,12:7
20:57,12:7
20:31,12:7
19:59,12:7
19:36,11:7
18:57,11:6
18:33,10:6
18:05,10:6
18:03,10:6
17:38,10:6
17:24,10:6
16:47,10:6
16:04,10:6
15:20,10:6
15:14,10:6
14:35,10:6
14:33,10:5
13:50,10:5
13:22,10:5
11:54,9:5
11:43,9:5
11:13,9:5
10:51,9:5
10:51,9:5
10:18,9:5
10:16,9:5
09:04,9:5
08:32,8:5
08:23,8:4
07:52,7:4
07:17,7:4
07:13,7:4
06:08,7:4
06:05,6:4
05:20,6:4
05:16,5:4
04:42,5:4
04:05,5:3
03:50,5:3
03:44,4:3
03:21,4:3
03:19,4:3
02:26,4:3
02:14,4:2
01:47,3:2
01:43,3:1
01:26,2:1
00:54,2:1
00:46,1:1
00:37,1:0
